service,event,endpoint,method,user_id,ip,status_code,latency_ms,timestamp,user,session_id,commit_hash,filename,mime_type,email,query,duration_ms,level,label,message,reason,key,table,rows_count,action,file_count,time_window_min,exception_type,stack_trace,secret_name,detected_mime,attempt_count,path,locations,time_diff_sec
api-auth,password_reset_request,,,,,,,2025-09-02 11:10:05,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 10:19:21,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 15:14:22,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 13:14:45,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 11:12:43,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 12:43:23,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
ci-cd-pipeline,code_deployment,,,,,,,2025-09-02 13:45:03,jane.doe,,abc123def,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_failure,,,,198.51.100.20,,,2025-09-02 12:18:32,attacker1,,,,,,,,,anomaly,,invalid_password,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 12:23:00,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
app-backend,privilege_escalation_attempt,,,,,,,2025-09-02 10:35:16,basic_user,,,,,,,,,anomaly,,,,,,delete_admin_account,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 12:11:25,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 11:51:02,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
app-server,internal_server_error,/api/v1/checkout,,,,500.0,,2025-09-02 10:41:57,,,,,,,,,ERROR,anomaly,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 13:05:45,,,,,,,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 14:03:22,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 12:16:42,,,,,,,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 11:04:03,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 10:56:03,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 12:35:41,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
file-service,file_upload,,,,,,,2025-09-02 14:08:45,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
auth-server,login_success,,,,203.0.113.10,,,2025-09-02 11:43:04,jane.doe,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 10:51:40,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 15:10:40,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
db-monitor,query_executed,,,,,,,2025-09-02 14:02:20,,,,,,,SELECT * FROM products WHERE category = 'electronics',12.0,,normal,,,,,,,,,,,,,,,,
geo-monitor,suspicious_access,,,,,,,2025-09-02 11:46:56,jane.doe,,,,,,,,,anomaly,,,,,,,,,,,,,,,"['US','China']",45.0
file-service,file_upload,,,,,,,2025-09-02 13:07:05,bob,,,profile.png,image/png,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 15:16:45,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 13:45:40,,,,,,,,,,normal,,,,,,,,,,,,,,,,
auth-server,jwt_refresh,,,,,,,2025-09-02 13:14:24,jane.doe,abcde12345,,,,,,,,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 10:33:41,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 10:46:44,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
api-gateway,unauthorized_request,/api/v1/admin/users,,anonymous,,403.0,,2025-09-02 10:12:40,,,,,,,,,,anomaly,,,,,,,,,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 10:07:40,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
api-auth,password_reset_request,,,,,,,2025-09-02 15:08:43,,,,,,john.smith@example.com,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 11:26:41,,,,,,,,,,normal,,,,,,,,,,,,,,,,
api-gateway,api_request,/api/v1/products/456,GET,user123,203.0.113.50,200.0,45.0,2025-09-02 14:00:40,,,,,,,,,,normal,,,,,,,,,,,,,,,,
file-service,download_spike,,,,198.51.100.40,,,2025-09-02 10:05:01,,,,,,,,,,anomaly,,,,,,,150.0,1.0,,,,,,,,
app-server,checkout_request,/api/v1/checkout,,,,200.0,,2025-09-02 14:42:25,,,,,,,,,INFO,normal,,,,,,,,,,,,,,,,
